City,AverageTemperature,year,month
Abilene,8.039000000000001,2000,1
Abilene,11.908,2000,2
Abilene,14.423,2000,3
Abilene,18.274,2000,4
Abilene,25.358,2000,5
Abilene,25.264,2000,6
Abilene,29.421,2000,7
Abilene,29.733,2000,8
Abilene,25.445999999999998,2000,9
Abilene,18.477,2000,10
Abilene,7.936,2000,11
Abilene,3.3930000000000002,2000,12
Abilene,4.465000000000002,2001,1
Abilene,8.142000000000001,2001,2
Abilene,9.951,2001,3
Abilene,18.488,2001,4
Abilene,23.189,2001,5
Abilene,27.868,2001,6
Abilene,30.964,2001,7
Abilene,28.34,2001,8
Abilene,23.465999999999998,2001,9
Abilene,17.589000000000002,2001,10
Abilene,13.403,2001,11
Abilene,7.617000000000001,2001,12
Abilene,7.2879999999999985,2002,1
Abilene,6.925,2002,2
Abilene,10.822000000000001,2002,3
Abilene,18.403,2002,4
Abilene,22.122,2002,5
Abilene,26.707,2002,6
Abilene,27.188,2002,7
Abilene,28.839000000000002,2002,8
Abilene,24.107,2002,9
Abilene,15.718,2002,10
Abilene,9.853,2002,11
Abilene,6.697,2002,12
Abilene,5.915,2003,1
Abilene,6.792000000000002,2003,2
Abilene,12.565,2003,3
Abilene,18.641,2003,4
Abilene,23.421,2003,5
Abilene,25.201,2003,6
Abilene,29.061,2003,7
Abilene,29.062,2003,8
Abilene,22.886,2003,9
Abilene,19.215,2003,10
Abilene,12.487,2003,11
Abilene,8.244,2003,12
Abilene,7.277000000000001,2004,1
Abilene,6.513,2004,2
Abilene,14.948,2004,3
Abilene,17.099999999999998,2004,4
Abilene,23.678,2004,5
Abilene,25.767,2004,6
Abilene,27.313,2004,7
Abilene,25.863000000000003,2004,8
Abilene,23.371,2004,9
Abilene,18.679000000000002,2004,10
Abilene,11.012,2004,11
Abilene,6.809,2004,12
Abilene,7.621,2005,1
Abilene,8.397,2005,2
Abilene,11.794,2005,3
Abilene,16.869,2005,4
Abilene,21.18,2005,5
Abilene,26.708,2005,6
Abilene,27.969,2005,7
Abilene,26.425,2005,8
Abilene,25.636999999999997,2005,9
Abilene,18.004,2005,10
Abilene,12.872,2005,11
Abilene,6.081,2005,12
Abilene,10.145,2006,1
Abilene,7.968,2006,2
Abilene,14.052,2006,3
Abilene,20.317,2006,4
Abilene,23.999000000000002,2006,5
Abilene,27.429,2006,6
Abilene,29.645,2006,7
Abilene,29.103,2006,8
Abilene,21.862,2006,9
Abilene,17.669,2006,10
Abilene,12.850999999999999,2006,11
Abilene,6.66,2006,12
Abilene,3.3530000000000006,2007,1
Abilene,7.077000000000001,2007,2
Abilene,15.123,2007,3
Abilene,14.673999999999998,2007,4
Abilene,20.536,2007,5
Abilene,24.764,2007,6
Abilene,25.925,2007,7
Abilene,27.379,2007,8
Abilene,24.615,2007,9
Abilene,19.64,2007,10
Abilene,12.233,2007,11
Abilene,6.604,2007,12
Abilene,5.836,2008,1
